time,b1
1/1/2022,1.0791427
1/2/2022,1.1863253
1/3/2022,1.4571012
1/4/2022,2.17323
1/5/2022,1.5698951
1/6/2022,1.1664844
1/7/2022,1.194779
1/8/2022,1.173726
1/9/2022,1.1135193
1/10/2022,1.1756009
1/11/2022,1.1541555
1/12/2022,1.2233266
1/13/2022,1.1699646
1/14/2022,1.2904683
1/15/2022,1.2120793
1/16/2022,0.94329464
1/17/2022,1.0937852
1/18/2022,1.3978804
1/19/2022,1.7256516
1/20/2022,2.3622255
1/21/2022,3.056182
1/22/2022,2.9373853
1/23/2022,3.0155685
1/24/2022,2.622938
1/25/2022,2.18634
1/26/2022,1.7515621
1/27/2022,1.3428773
1/28/2022,1.2775441
1/29/2022,1.3352704
1/30/2022,1.457402
1/31/2022,1.4484538
2/1/2022,1.5793384
2/2/2022,1.8165568
2/3/2022,2.0309706
2/4/2022,2.4687793
2/5/2022,2.163009
2/6/2022,2.3223798
2/7/2022,1.8594147
2/8/2022,1.9045641
2/9/2022,1.8569139
2/10/2022,1.592029
2/11/2022,1.1929811
2/12/2022,1.2097386
2/13/2022,1.6963587
2/14/2022,2.2224958
2/15/2022,2.0628288
2/16/2022,2.099426
2/17/2022,2.229552
2/18/2022,2.1079302
2/19/2022,1.9068073
2/20/2022,1.6283829
2/21/2022,1.7434855
2/22/2022,2.0805466
2/23/2022,1.4509472
2/24/2022,1.4478579
2/25/2022,1.8048918
2/26/2022,1.3578863
2/27/2022,1.6654974
2/28/2022,1.6801208
3/1/2022,2.0263395
3/2/2022,1.9719508
3/3/2022,2.5617232
3/4/2022,2.3168147
3/5/2022,1.8746151
3/6/2022,1.7500559
3/7/2022,1.6353487
3/8/2022,2.0427234
3/9/2022,2.333299
3/10/2022,2.4569767
3/11/2022,2.1501946
3/12/2022,1.7669047
3/13/2022,2.0273285
3/14/2022,2.2879333
3/15/2022,2.5616207
3/16/2022,2.7449553
3/17/2022,2.7995203
3/18/2022,2.923909
3/19/2022,2.9301217
3/20/2022,3.0619898
3/21/2022,2.7410414
3/22/2022,2.5249767
3/23/2022,2.6713464
3/24/2022,2.4648554
3/25/2022,2.069592
3/26/2022,1.6393973
3/27/2022,1.3858279
